Country,Year,InjuriesPerMillion
Korea,2010,7133
Korea,2009,7358
Korea,2008,6925
Korea,2007,6912
Korea,2006,7034
Korea,2005,7109
Korea,2004,7223
Korea,2003,7867
Korea,2002,7311
Korea,2001,8162
Korea,2000,9083
Latvia,2010,1918
Latvia,2009,1835
Latvia,1998,2246
Latvia,1997,1921
Latvia,1996,1760
Latvia,1995,1973
Latvia,2008,2483
Latvia,2007,2765
Latvia,2006,2434
Latvia,2005,2501
Latvia,2004,2835
Latvia,2003,2902
Latvia,2002,2727
Latvia,2001,2503
Latvia,2000,2301
Latvia,1999,2194
Latvia,2020,2134
Latvia,2019,2383
Latvia,2018,2491
Latvia,2017,2485
Latvia,2016,2372
Latvia,2015,2309
Latvia,2014,2308
Latvia,2013,2155
Latvia,2012,2055
Lithuania,2010,1366
Lithuania,2009,1399
Lithuania,1998,2160
Lithuania,1997,1734
Lithuania,1996,1450
Lithuania,1995,1242
Lithuania,2008,1819
Lithuania,2007,2489
Lithuania,2006,2524
Lithuania,2005,2548
Lithuania,2004,2328
Lithuania,2003,2128
Lithuania,2002,2157
Lithuania,2001,2046
Lithuania,2000,1989
Lithuania,1999,2184
Lithuania,2023,1145
Lithuania,2022,1183
Lithuania,2021,1133
Lithuania,2020,1125
Lithuania,2019,1341
Lithuania,2018,1202
Lithuania,2017,1253
Lithuania,2016,1303
Lithuania,2015,1235
Lithuania,2014,1276
Lithuania,2013,1353
Lithuania,2012,1322
Luxembourg,1998,3570
Luxembourg,1997,3570
Luxembourg,1963,7639
Luxembourg,1962,7760
Luxembourg,1961,7675
Luxembourg,1960,7172
Luxembourg,1973,8035
Luxembourg,1972,7550
Luxembourg,1971,6907
Luxembourg,1970,6966
Luxembourg,1969,6109
Luxembourg,1968,6429
Luxembourg,1967,7054
Luxembourg,1966,6554
Luxembourg,1965,7813
Luxembourg,1964,7890
Luxembourg,1996,3711
Luxembourg,1995,4054
Luxembourg,1994,3839
Luxembourg,1993,4126
Luxembourg,1992,3978
Luxembourg,1991,4207
Luxembourg,1990,4630
Luxembourg,1989,4884
Luxembourg,1988,4969
Luxembourg,1987,4525
Luxembourg,1986,5367
Luxembourg,1985,5438
Luxembourg,1984,5781
Luxembourg,1983,5790
Luxembourg,1982,5373
Luxembourg,1981,5855
Luxembourg,1980,6253
Luxembourg,1979,6285
Luxembourg,1978,5998
Luxembourg,1977,6868
Luxembourg,1976,6767
Luxembourg,1975,7667
Luxembourg,1974,7736
Luxembourg,2021,1939
Luxembourg,2020,1524
Luxembourg,2019,2085
Luxembourg,2018,2001
Luxembourg,2017,2131
Luxembourg,2016,2059
Luxembourg,2015,2367
Luxembourg,2014,2196
Luxembourg,2013,2296
Luxembourg,2012,2593
Luxembourg,2011,2518
Luxembourg,2010,2335
Luxembourg,2009,2320
Luxembourg,2008,2533
Luxembourg,2007,2758
Luxembourg,2006,2303
Luxembourg,2005,2263
Luxembourg,2004,2159
Luxembourg,2003,2326
Luxembourg,2002,2463
Luxembourg,2001,2661
Luxembourg,2000,2872
Mexico,2016,886.5
Mexico,2015,1013.1
Mexico,1981,1307
Mexico,1980,1373
Mexico,1979,1307
Mexico,1978,1216
Mexico,1991,1043
Mexico,1990,1080
Mexico,1989,1314
Mexico,1988,1168
Mexico,1987,1335
Mexico,1986,1059
Mexico,1985,1227
Mexico,1984,1122
Mexico,1983,1068
Mexico,1982,1218
Mexico,2014,1131.4
Mexico,2013,1214.2
Mexico,2012,1314.3
Mexico,2011,1402.4
Mexico,2010,1514.8
Mexico,2009,1655.3
Mexico,2008,1702.3
Mexico,2007,1772.9
Mexico,2006,1702.9
Mexico,2005,1683.5
Mexico,2004,1531.6
Mexico,2003,1657.5
Mexico,2002,1676.3
Mexico,2001,1652.1
Mexico,2000,1568.4
Mexico,1999,1407.3
Mexico,1998,1363.9
Mexico,1997,1372.2
Mexico,1996,1183
Mexico,1995,1243
Mexico,1994,1247
Mexico,1993,1165
Mexico,1992,1149
Mexico,2021,703.1
Mexico,2020,615.4
Mexico,2019,792.1
Mexico,2018,781.8
Netherlands,1999,3232
Netherlands,1997,3143
Netherlands,1963,4280
Netherlands,1962,4282
Netherlands,1961,4311
Netherlands,1960,4212
Netherlands,1973,5236
Netherlands,1972,5258
Netherlands,1971,5470
Netherlands,1970,5281
Netherlands,1969,5249
Netherlands,1968,4878
Netherlands,1967,4851
Netherlands,1966,5243
Netherlands,1965,5035
Netherlands,1964,4881
Netherlands,1996,3193
Netherlands,1995,3297
Netherlands,1994,3195
Netherlands,1993,3112
Netherlands,1992,3183
Netherlands,1991,3145
Netherlands,1990,3480
Netherlands,1989,3388
Netherlands,1988,3251
Netherlands,1987,3354
Netherlands,1986,3437
Netherlands,1985,3343
Netherlands,1984,3513
Netherlands,1983,3652
Netherlands,1982,3648
Netherlands,1981,3756
